user,timestamp,steps,active_minutes,heart_rate,sleep_hours
PyCharm,2026-02-26 19:46:02.692573,6,1,72.7,6.88
PyCharm,2026-02-26 19:46:07.695011,12,0,69.5,6.81
PyCharm,2026-02-26 19:46:12.697576,15,0,67.6,7.03
PyCharm,2026-02-26 19:46:17.699788,26,1,77.3,7.31
PyCharm,2026-02-26 19:46:22.702015,37,0,57.8,7.12
PyCharm,2026-02-26 19:46:27.704141,52,0,71.1,6.85
PyCharm,2026-02-26 19:46:32.706218,63,0,67.3,7.02
PyCharm,2026-02-26 19:46:37.708302,81,0,68.5,6.99
PyCharm,2026-02-26 19:46:42.710224,94,1,67.0,6.94
PyCharm,2026-02-26 19:46:47.712324,113,0,74.7,7.32
PyCharm,2026-02-26 19:46:52.714442,120,0,68.9,7.08
PyCharm,2026-02-26 19:46:57.716793,127,1,63.1,6.93
PyCharm,2026-02-26 19:47:02.719112,130,0,73.7,7.03
PyCharm,2026-02-26 19:47:07.721372,137,0,72.8,7.01
PyCharm,2026-02-26 19:47:12.723773,152,1,81.7,7.21
PyCharm,2026-02-26 19:47:17.725990,164,0,72.9,7.18
PyCharm,2026-02-26 19:47:22.728247,166,1,73.5,7.03
PyCharm,2026-02-26 19:47:27.730355,174,1,69.2,7.23
PyCharm,2026-02-26 19:47:32.732214,174,0,64.5,6.76
PyCharm,2026-02-26 19:47:37.734360,176,0,72.3,6.66
PyCharm,2026-02-26 19:47:42.736357,178,0,74.9,7.16
PyCharm,2026-02-26 19:47:47.738618,191,0,56.9,7.16
PyCharm,2026-02-26 19:47:52.740925,200,0,70.8,6.98
PyCharm,2026-02-26 19:47:57.743023,216,0,74.5,7.0
PyCharm,2026-02-26 19:48:02.745166,222,0,66.1,7.15
PyCharm,2026-02-26 19:48:07.747402,228,0,72.5,7.23
PyCharm,2026-02-26 19:48:12.749541,233,0,67.9,6.72
PyCharm,2026-02-26 19:48:17.751645,243,0,68.4,6.83
PyCharm,2026-02-26 19:48:22.754063,243,0,63.3,6.8
PyCharm,2026-02-26 19:48:27.756148,248,0,62.9,6.92
PyCharm,2026-02-26 19:48:32.758391,266,0,66.7,6.9
PyCharm,2026-02-26 19:48:37.760277,274,0,69.9,6.99
PyCharm,2026-02-26 19:48:42.762306,285,0,60.4,6.99
